t(s)	Amplitude
0.0084000000	0.0001149749
0.0085000000	0.0001138666
0.0086000000	0.0001126254
0.0087000000	0.0001112740
0.0088000000	0.0001098357
0.0089000000	0.0001083338
0.0090000000	0.0001067916
0.0091000000	0.0001052318
0.0092000000	0.0001036766
0.0093000000	0.0001021471
0.0094000000	0.0001006632
0.0095000000	0.0000992434
0.0096000000	0.0000979044
0.0097000000	0.0000966615
0.0098000000	0.0000955276
0.0099000000	0.0000945139
0.0100000000	0.0000936293
0.0101000000	0.0000928806
0.0102000000	0.0000922723
0.0103000000	0.0000918071
0.0104000000	0.0000914850
0.0105000000	0.0000913046
0.0106000000	0.0000912620
0.0107000000	0.0000913519
0.0108000000	0.0000915671
0.0109000000	0.0000918989
0.0110000000	0.0000923373
0.0111000000	0.0000928713
0.0112000000	0.0000934888
0.0113000000	0.0000941770
0.0114000000	0.0000949228
0.0115000000	0.0000957124
0.0116000000	0.0000965324
0.0117000000	0.0000973691
0.0118000000	0.0000982093
0.0119000000	0.0000990403
0.0120000000	0.0000998500
0.0121000000	0.0001006272
0.0122000000	0.0001013615
0.0123000000	0.0001020437
0.0124000000	0.0001026656
0.0125000000	0.0001032204
0.0126000000	0.0001037025
0.0127000000	0.0001041077
0.0128000000	0.0001044329
0.0129000000	0.0001046765
0.0130000000	0.0001048383
0.0131000000	0.0001049191
0.0132000000	0.0001049211
0.0133000000	0.0001048474
0.0134000000	0.0001047024
0.0135000000	0.0001044910
0.0136000000	0.0001042193
0.0137000000	0.0001038939
0.0138000000	0.0001035219
0.0139000000	0.0001031109
0.0140000000	0.0001026688
0.0141000000	0.0001022036
0.0142000000	0.0001017234
0.0143000000	0.0001012361
0.0144000000	0.0001007495
0.0145000000	0.0001002711
0.0146000000	0.0000998079
0.0147000000	0.0000993663
0.0148000000	0.0000989523
0.0149000000	0.0000985711
0.0150000000	0.0000982274
0.0151000000	0.0000979248
0.0152000000	0.0000976664
0.0153000000	0.0000974544
0.0154000000	0.0000972902
0.0155000000	0.0000971745
0.0156000000	0.0000971071
0.0157000000	0.0000970871
0.0158000000	0.0000971130
0.0159000000	0.0000971826
0.0160000000	0.0000972929
0.0161000000	0.0000974408
0.0162000000	0.0000976225
0.0163000000	0.0000978338
0.0164000000	0.0000980703
0.0165000000	0.0000983273
0.0166000000	0.0000986001
0.0167000000	0.0000988838
0.0168000000	0.0000991737
0.0169000000	0.0000994650
0.0170000000	0.0000997532
0.0171000000	0.0001000338
0.0172000000	0.0001003030
0.0173000000	0.0001005569
0.0174000000	0.0001007923
0.0175000000	0.0001010063
0.0176000000	0.0001011963
0.0177000000	0.0001013603
0.0178000000	0.0001014969
0.0179000000	0.0001016051
0.0180000000	0.0001016841
0.0181000000	0.0001017340
0.0182000000	0.0001017552
0.0183000000	0.0001017483
0.0184000000	0.0001017147
0.0185000000	0.0001016558
0.0186000000	0.0001015737
0.0187000000	0.0001014703
0.0188000000	0.0001013482
0.0189000000	0.0001012100
0.0190000000	0.0001010585
0.0191000000	0.0001008964
0.0192000000	0.0001007268
0.0193000000	0.0001005525
0.0194000000	0.0001003765
0.0195000000	0.0001002014
0.0196000000	0.0001000301
0.0197000000	0.0000998649
0.0198000000	0.0000997082
0.0199000000	0.0000995621
0.0200000000	0.0000994285
0.0201000000	0.0000993089
0.0202000000	0.0000992047
0.0203000000	0.0000991168
0.0204000000	0.0000990460
0.0205000000	0.0000989927
0.0206000000	0.0000989571
0.0207000000	0.0000989390
0.0208000000	0.0000989381
0.0209000000	0.0000989536
0.0210000000	0.0000989848
0.0211000000	0.0000990305
0.0212000000	0.0000990894
0.0213000000	0.0000991602
0.0214000000	0.0000992413
0.0215000000	0.0000993310
0.0216000000	0.0000994276
0.0217000000	0.0000995294
0.0218000000	0.0000996345
0.0219000000	0.0000997412
0.0220000000	0.0000998479
0.0221000000	0.0000999528
0.0222000000	0.0001000544
0.0223000000	0.0001001513
0.0224000000	0.0001002421
0.0225000000	0.0001003256
0.0226000000	0.0001004010
0.0227000000	0.0001004672
0.0228000000	0.0001005237
0.0229000000	0.0001005699
0.0230000000	0.0001006055
0.0231000000	0.0001006304
0.0232000000	0.0001006446
0.0233000000	0.0001006482
0.0234000000	0.0001006418
0.0235000000	0.0001006256
0.0236000000	0.0001006004
0.0237000000	0.0001005670
0.0238000000	0.0001005260
0.0239000000	0.0001004785
0.0240000000	0.0001004254
0.0241000000	0.0001003678
0.0242000000	0.0001003068
0.0243000000	0.0001002433
0.0244000000	0.0001001786
0.0245000000	0.0001001136
0.0246000000	0.0001000494
0.0247000000	0.0000999868
0.0248000000	0.0000999270
0.0249000000	0.0000998705
0.0250000000	0.0000998183
0.0251000000	0.0000997708
0.0252000000	0.0000997288
0.0253000000	0.0000996926
0.0254000000	0.0000996626
0.0255000000	0.0000996389
0.0256000000	0.0000996218
0.0257000000	0.0000996112
0.0258000000	0.0000996070
0.0259000000	0.0000996091
0.0260000000	0.0000996172
0.0261000000	0.0000996309
0.0262000000	0.0000996498
0.0263000000	0.0000996734
0.0264000000	0.0000997011
0.0265000000	0.0000997324
0.0266000000	0.0000997667
0.0267000000	0.0000998033
0.0268000000	0.0000998415
0.0269000000	0.0000998808
0.0270000000	0.0000999204
0.0271000000	0.0000999597
0.0272000000	0.0000999981
0.0273000000	0.0001000351
0.0274000000	0.0001000701
0.0275000000	0.0001001028
0.0276000000	0.0001001326
0.0277000000	0.0001001592
0.0278000000	0.0001001823
0.0279000000	0.0001002018
0.0280000000	0.0001002174
0.0281000000	0.0001002290
0.0282000000	0.0001002367
0.0283000000	0.0001002404
0.0284000000	0.0001002403
0.0285000000	0.0001002365
0.0286000000	0.0001002292
0.0287000000	0.0001002186
0.0288000000	0.0001002051
0.0289000000	0.0001001890
0.0290000000	0.0001001705
0.0291000000	0.0001001502
0.0292000000	0.0001001283
0.0293000000	0.0001001053
0.0294000000	0.0001000815
0.0295000000	0.0001000575
0.0296000000	0.0001000334
0.0297000000	0.0001000098
0.0298000000	0.0000999870
0.0299000000	0.0000999653
0.0300000000	0.0000999449
0.0301000000	0.0000999262
0.0302000000	0.0000999094
0.0303000000	0.0000998947
0.0304000000	0.0000998821
0.0305000000	0.0000998719
0.0306000000	0.0000998641
0.0307000000	0.0000998586
0.0308000000	0.0000998556
0.0309000000	0.0000998550
0.0310000000	0.0000998566
0.0311000000	0.0000998604
0.0312000000	0.0000998663
0.0313000000	0.0000998740
0.0314000000	0.0000998834
0.0315000000	0.0000998942
0.0316000000	0.0000999062
0.0317000000	0.0000999193
0.0318000000	0.0000999331
0.0319000000	0.0000999475
0.0320000000	0.0000999621
0.0321000000	0.0000999767
0.0322000000	0.0000999912
0.0323000000	0.0001000053
0.0324000000	0.0001000187
0.0325000000	0.0001000314
0.0326000000	0.0001000431
0.0327000000	0.0001000537
0.0328000000	0.0001000631
0.0329000000	0.0001000711
0.0330000000	0.0001000778
0.0331000000	0.0001000830
0.0332000000	0.0001000868
0.0333000000	0.0001000891
0.0334000000	0.0001000899
0.0335000000	0.0001000893
0.0336000000	0.0001000874
0.0337000000	0.0001000842
0.0338000000	0.0001000799
0.0339000000	0.0001000745
0.0340000000	0.0001000681
0.0341000000	0.0001000610
0.0342000000	0.0001000532
0.0343000000	0.0001000449
0.0344000000	0.0001000363
0.0345000000	0.0001000274
0.0346000000	0.0001000185
0.0347000000	0.0001000096
0.0348000000	0.0001000010
0.0349000000	0.0000999927
0.0350000000	0.0000999848
0.0351000000	0.0000999775
0.0352000000	0.0000999708
0.0353000000	0.0000999648
0.0354000000	0.0000999597
0.0355000000	0.0000999554
0.0356000000	0.0000999519
0.0357000000	0.0000999493
0.0358000000	0.0000999477
0.0359000000	0.0000999469
0.0360000000	0.0000999470
0.0361000000	0.0000999479
0.0362000000	0.0000999496
0.0363000000	0.0000999521
0.0364000000	0.0000999552
0.0365000000	0.0000999589
0.0366000000	0.0000999631
0.0367000000	0.0000999677
0.0368000000	0.0000999726
0.0369000000	0.0000999778
0.0370000000	0.0000999832
0.0371000000	0.0000999886
0.0372000000	0.0000999941
0.0373000000	0.0000999994
0.0374000000	0.0001000045
0.0375000000	0.0001000094
0.0376000000	0.0001000140
0.0377000000	0.0001000181
0.0378000000	0.0001000219
0.0379000000	0.0001000252
0.0380000000	0.0001000280
0.0381000000	0.0001000303
0.0382000000	0.0001000320
0.0383000000	0.0001000332
0.0384000000	0.0001000338
0.0385000000	0.0001000339
0.0386000000	0.0001000335
0.0387000000	0.0001000326
0.0388000000	0.0001000313
0.0389000000	0.0001000295
0.0390000000	0.0001000273
0.0391000000	0.0001000249
0.0392000000	0.0001000221
0.0393000000	0.0001000192
0.0394000000	0.0001000160
0.0395000000	0.0001000128
0.0396000000	0.0001000095
0.0397000000	0.0001000062
0.0398000000	0.0001000029
0.0399000000	0.0000999998
0.0400000000	0.0000999967
0.0401000000	0.0000999939
0.0402000000	0.0000999913
0.0403000000	0.0000999889
0.0404000000	0.0000999868
0.0405000000	0.0000999850
0.0406000000	0.0000999835
0.0407000000	0.0000999824
0.0408000000	0.0000999816
0.0409000000	0.0000999811
0.0410000000	0.0000999809
0.0411000000	0.0000999811
0.0412000000	0.0000999815
0.0413000000	0.0000999823
0.0414000000	0.0000999833
0.0415000000	0.0000999845
0.0416000000	0.0000999859
0.0417000000	0.0000999876
0.0418000000	0.0000999893
0.0419000000	0.0000999912
0.0420000000	0.0000999932
0.0421000000	0.0000999952
0.0422000000	0.0000999972
0.0423000000	0.0000999992
0.0424000000	0.0001000011
0.0425000000	0.0001000030
0.0426000000	0.0001000048
0.0427000000	0.0001000064
0.0428000000	0.0001000079
0.0429000000	0.0001000092
0.0430000000	0.0001000104
0.0431000000	0.0001000113
0.0432000000	0.0001000121
0.0433000000	0.0001000127
0.0434000000	0.0001000130
0.0435000000	0.0001000132
0.0436000000	0.0001000131
0.0437000000	0.0001000129
0.0438000000	0.0001000125
0.0439000000	0.0001000120
0.0440000000	0.0001000113
0.0441000000	0.0001000104
0.0442000000	0.0001000095
0.0443000000	0.0001000084
0.0444000000	0.0001000073
0.0445000000	0.0001000061
0.0446000000	0.0001000049
0.0447000000	0.0001000037
0.0448000000	0.0001000024
0.0449000000	0.0001000012
0.0450000000	0.0001000001
0.0451000000	0.0000999990
0.0452000000	0.0000999980
0.0453000000	0.0000999970
0.0454000000	0.0000999962
0.0455000000	0.0000999955
0.0456000000	0.0000999948
0.0457000000	0.0000999943
0.0458000000	0.0000999940
0.0459000000	0.0000999937
0.0460000000	0.0000999936
0.0461000000	0.0000999935
0.0462000000	0.0000999936
0.0463000000	0.0000999939
0.0464000000	0.0000999942
0.0465000000	0.0000999946
0.0466000000	0.0000999951
0.0467000000	0.0000999956
0.0468000000	0.0000999962
0.0469000000	0.0000999969
0.0470000000	0.0000999976
0.0471000000	0.0000999984
0.0472000000	0.0000999991
0.0473000000	0.0000999999
0.0474000000	0.0001000006
0.0475000000	0.0001000013
0.0476000000	0.0001000020
0.0477000000	0.0001000026
0.0478000000	0.0001000032
0.0479000000	0.0001000037
0.0480000000	0.0001000042
0.0481000000	0.0001000046
0.0482000000	0.0001000049
0.0483000000	0.0001000052
0.0484000000	0.0001000054
0.0485000000	0.0001000055
0.0486000000	0.0001000055
0.0487000000	0.0001000055
0.0488000000	0.0001000054
0.0489000000	0.0001000052
0.0490000000	0.0001000050
0.0491000000	0.0001000047
0.0492000000	0.0001000043
0.0493000000	0.0001000040
0.0494000000	0.0001000036
0.0495000000	0.0001000031
0.0496000000	0.0001000027
0.0497000000	0.0001000023
0.0498000000	0.0001000018
0.0499000000	0.0001000013
0.0500000000	0.0001000009
0.0501000000	0.0001000005
0.0502000000	0.0001000001
0.0503000000	0.0000999997
0.0504000000	0.0000999994
0.0505000000	0.0000999991
0.0506000000	0.0000999988
0.0507000000	0.0000999986
0.0508000000	0.0000999985
0.0509000000	0.0000999983
0.0510000000	0.0000999983
0.0511000000	0.0000999982
0.0512000000	0.0000999982
0.0513000000	0.0000999983
0.0514000000	0.0000999984
0.0515000000	0.0000999985
0.0516000000	0.0000999987
0.0517000000	0.0000999989
0.0518000000	0.0000999991
0.0519000000	0.0000999993
0.0520000000	0.0000999996
0.0521000000	0.0000999998
0.0522000000	0.0001000001
0.0523000000	0.0001000004
0.0524000000	0.0001000007
0.0525000000	0.0001000009
0.0526000000	0.0001000012
0.0527000000	0.0001000014
0.0528000000	0.0001000017
0.0529000000	0.0001000019
0.0530000000	0.0001000021
0.0531000000	0.0001000022
0.0532000000	0.0001000024
0.0533000000	0.0001000025
0.0534000000	0.0001000026
0.0535000000	0.0001000026
0.0536000000	0.0001000026
0.0537000000	0.0001000027
0.0538000000	0.0001000026
0.0539000000	0.0001000026
0.0540000000	0.0001000025
0.0541000000	0.0001000024
0.0542000000	0.0001000023
0.0543000000	0.0001000022
0.0544000000	0.0001000020
0.0545000000	0.0001000019
0.0546000000	0.0001000017
0.0547000000	0.0001000016
0.0548000000	0.0001000014
0.0549000000	0.0001000012
0.0550000000	0.0001000011
0.0551000000	0.0001000009
0.0552000000	0.0001000007
0.0553000000	0.0001000006
0.0554000000	0.0001000005
0.0555000000	0.0001000003
0.0556000000	0.0001000002
0.0557000000	0.0001000002
0.0558000000	0.0001000001
0.0559000000	0.0001000000
0.0560000000	0.0001000000
0.0561000000	0.0001000000
0.0562000000	0.0001000000
0.0563000000	0.0001000000
0.0564000000	0.0001000000
0.0565000000	0.0001000000
0.0566000000	0.0001000001
0.0567000000	0.0001000001
0.0568000000	0.0001000002
0.0569000000	0.0001000003
0.0570000000	0.0001000004
0.0571000000	0.0001000005
0.0572000000	0.0001000006
0.0573000000	0.0001000007
0.0574000000	0.0001000008
0.0575000000	0.0001000009
0.0576000000	0.0001000010
0.0577000000	0.0001000011
0.0578000000	0.0001000012
0.0579000000	0.0001000013
0.0580000000	0.0001000013
0.0581000000	0.0001000014
0.0582000000	0.0001000015
0.0583000000	0.0001000015
0.0584000000	0.0001000015
0.0585000000	0.0001000016
0.0586000000	0.0001000016
0.0587000000	0.0001000016
0.0588000000	0.0001000016
0.0589000000	0.0001000016
0.0590000000	0.0001000016
0.0591000000	0.0001000015
0.0592000000	0.0001000015
0.0593000000	0.0001000014
0.0594000000	0.0001000014
0.0595000000	0.0001000013
0.0596000000	0.0001000013
0.0597000000	0.0001000012
0.0598000000	0.0001000012
0.0599000000	0.0001000011
0.0600000000	0.0001000010
0.0601000000	0.0001000010
0.0602000000	0.0001000009
0.0603000000	0.0001000009
0.0604000000	0.0001000008
0.0605000000	0.0001000008
0.0606000000	0.0001000007
0.0607000000	0.0001000007
0.0608000000	0.0001000007
0.0609000000	0.0001000006
0.0610000000	0.0001000006
0.0611000000	0.0001000006
0.0612000000	0.0001000006
0.0613000000	0.0001000006
0.0614000000	0.0001000006
0.0615000000	0.0001000006
0.0616000000	0.0001000006
0.0617000000	0.0001000007
0.0618000000	0.0001000007
0.0619000000	0.0001000007
0.0620000000	0.0001000007
0.0621000000	0.0001000008
0.0622000000	0.0001000008
0.0623000000	0.0001000008
0.0624000000	0.0001000009
0.0625000000	0.0001000009
0.0626000000	0.0001000010
0.0627000000	0.0001000010
0.0628000000	0.0001000010
0.0629000000	0.0001000011
0.0630000000	0.0001000011
0.0631000000	0.0001000011
0.0632000000	0.0001000011
0.0633000000	0.0001000012
0.0634000000	0.0001000012
0.0635000000	0.0001000012
0.0636000000	0.0001000012
0.0637000000	0.0001000012
0.0638000000	0.0001000012
0.0639000000	0.0001000012
0.0640000000	0.0001000012
0.0641000000	0.0001000012
0.0642000000	0.0001000012
0.0643000000	0.0001000012
0.0644000000	0.0001000011
0.0645000000	0.0001000011
0.0646000000	0.0001000011
0.0647000000	0.0001000011
0.0648000000	0.0001000011
0.0649000000	0.0001000010
0.0650000000	0.0001000010
0.0651000000	0.0001000010
0.0652000000	0.0001000010
0.0653000000	0.0001000009
0.0654000000	0.0001000009
0.0655000000	0.0001000009
0.0656000000	0.0001000009
0.0657000000	0.0001000009
0.0658000000	0.0001000009
0.0659000000	0.0001000009
0.0660000000	0.0001000008
0.0661000000	0.0001000008
0.0662000000	0.0001000008
0.0663000000	0.0001000008
0.0664000000	0.0001000008
0.0665000000	0.0001000008
0.0666000000	0.0001000008
0.0667000000	0.0001000009
0.0668000000	0.0001000009
0.0669000000	0.0001000009
0.0670000000	0.0001000009
0.0671000000	0.0001000009
0.0672000000	0.0001000009
0.0673000000	0.0001000009
0.0674000000	0.0001000009
0.0675000000	0.0001000009
0.0676000000	0.0001000010
0.0677000000	0.0001000010
0.0678000000	0.0001000010
0.0679000000	0.0001000010
0.0680000000	0.0001000010
0.0681000000	0.0001000010
0.0682000000	0.0001000010
0.0683000000	0.0001000010
0.0684000000	0.0001000010
0.0685000000	0.0001000011
0.0686000000	0.0001000011
0.0687000000	0.0001000011
0.0688000000	0.0001000011
0.0689000000	0.0001000011
0.0690000000	0.0001000011
0.0691000000	0.0001000011
0.0692000000	0.0001000011
0.0693000000	0.0001000010
0.0694000000	0.0001000010
0.0695000000	0.0001000010
0.0696000000	0.0001000010
0.0697000000	0.0001000010
0.0698000000	0.0001000010
0.0699000000	0.0001000010
0.0700000000	0.0001000010
0.0701000000	0.0001000010
0.0702000000	0.0001000010
0.0703000000	0.0001000010
0.0704000000	0.0001000010
0.0705000000	0.0001000010
0.0706000000	0.0001000009
0.0707000000	0.0001000009
0.0708000000	0.0001000009
0.0709000000	0.0001000009
0.0710000000	0.0001000009
0.0711000000	0.0001000009
0.0712000000	0.0001000009
0.0713000000	0.0001000009
0.0714000000	0.0001000009
0.0715000000	0.0001000009
0.0716000000	0.0001000009
0.0717000000	0.0001000009
0.0718000000	0.0001000009
0.0719000000	0.0001000009
0.0720000000	0.0001000009
0.0721000000	0.0001000009
0.0722000000	0.0001000009
0.0723000000	0.0001000010
0.0724000000	0.0001000010
0.0725000000	0.0001000010
0.0726000000	0.0001000010
0.0727000000	0.0001000010
0.0728000000	0.0001000010
0.0729000000	0.0001000010
0.0730000000	0.0001000010
0.0731000000	0.0001000010
0.0732000000	0.0001000010
0.0733000000	0.0001000010
0.0734000000	0.0001000010
0.0735000000	0.0001000010
0.0736000000	0.0001000010
0.0737000000	0.0001000010
0.0738000000	0.0001000010
0.0739000000	0.0001000010
0.0740000000	0.0001000010
0.0741000000	0.0001000010
0.0742000000	0.0001000010
0.0743000000	0.0001000010
0.0744000000	0.0001000010
0.0745000000	0.0001000010
0.0746000000	0.0001000010
0.0747000000	0.0001000010
0.0748000000	0.0001000010
0.0749000000	0.0001000010
0.0750000000	0.0001000010
0.0751000000	0.0001000010
0.0752000000	0.0001000010
0.0753000000	0.0001000010
0.0754000000	0.0001000010
0.0755000000	0.0001000010
0.0756000000	0.0001000010
0.0757000000	0.0001000010
0.0758000000	0.0001000010
0.0759000000	0.0001000010
0.0760000000	0.0001000010
0.0761000000	0.0001000010
0.0762000000	0.0001000010
0.0763000000	0.0001000010
0.0764000000	0.0001000010
0.0765000000	0.0001000010
0.0766000000	0.0001000010
0.0767000000	0.0001000010
0.0768000000	0.0001000010
0.0769000000	0.0001000010
0.0770000000	0.0001000010
0.0771000000	0.0001000010
0.0772000000	0.0001000010
0.0773000000	0.0001000010
0.0774000000	0.0001000010
0.0775000000	0.0001000010
0.0776000000	0.0001000010
0.0777000000	0.0001000010
0.0778000000	0.0001000010
0.0779000000	0.0001000010
0.0780000000	0.0001000010
0.0781000000	0.0001000010
0.0782000000	0.0001000010
0.0783000000	0.0001000010
0.0784000000	0.0001000010
0.0785000000	0.0001000010
0.0786000000	0.0001000010
0.0787000000	0.0001000010
0.0788000000	0.0001000010
0.0789000000	0.0001000010
0.0790000000	0.0001000010
0.0791000000	0.0001000010
0.0792000000	0.0001000010
0.0793000000	0.0001000010
0.0794000000	0.0001000010
0.0795000000	0.0001000010
0.0796000000	0.0001000010
0.0797000000	0.0001000010
0.0798000000	0.0001000010
0.0799000000	0.0001000010
0.0800000000	0.0001000010
0.0801000000	0.0001000010
0.0802000000	0.0001000010
0.0803000000	0.0001000010
0.0804000000	0.0001000010
0.0805000000	0.0001000010
0.0806000000	0.0001000010
0.0807000000	0.0001000010
0.0808000000	0.0001000010
0.0809000000	0.0001000010
0.0810000000	0.0001000010
0.0811000000	0.0001000010
0.0812000000	0.0001000010
0.0813000000	0.0001000010
0.0814000000	0.0001000010
0.0815000000	0.0001000010
0.0816000000	0.0001000010
0.0817000000	0.0001000010
0.0818000000	0.0001000010
0.0819000000	0.0001000010
0.0820000000	0.0001000010
0.0821000000	0.0001000010
0.0822000000	0.0001000010
0.0823000000	0.0001000010
0.0824000000	0.0001000010
0.0825000000	0.0001000010
0.0826000000	0.0001000010
0.0827000000	0.0001000010
0.0828000000	0.0001000010
0.0829000000	0.0001000010
0.0830000000	0.0001000010
0.0831000000	0.0001000010
0.0832000000	0.0001000010
0.0833000000	0.0001000010
0.0834000000	0.0001000010
0.0835000000	0.0001000010
0.0836000000	0.0001000010
0.0837000000	0.0001000010
0.0838000000	0.0001000010
0.0839000000	0.0001000010
0.0840000000	0.0001000010
0.0841000000	0.0001000010
0.0842000000	0.0001000010
0.0843000000	0.0001000010
0.0844000000	0.0001000010
0.0845000000	0.0001000010
0.0846000000	0.0001000010
0.0847000000	0.0001000010
0.0848000000	0.0001000010
0.0849000000	0.0001000010
0.0850000000	0.0001000010
0.0851000000	0.0001000010
0.0852000000	0.0001000010
0.0853000000	0.0001000010
0.0854000000	0.0001000010
0.0855000000	0.0001000010
0.0856000000	0.0001000010
0.0857000000	0.0001000010
0.0858000000	0.0001000010
0.0859000000	0.0001000010
0.0860000000	0.0001000010
0.0861000000	0.0001000010
0.0862000000	0.0001000010
0.0863000000	0.0001000010
0.0864000000	0.0001000010
0.0865000000	0.0001000010
0.0866000000	0.0001000010
0.0867000000	0.0001000010
0.0868000000	0.0001000010
0.0869000000	0.0001000010
0.0870000000	0.0001000010
0.0871000000	0.0001000010
0.0872000000	0.0001000010
0.0873000000	0.0001000010
0.0874000000	0.0001000010
0.0875000000	0.0001000010
0.0876000000	0.0001000010
0.0877000000	0.0001000010
0.0878000000	0.0001000010
0.0879000000	0.0001000010
0.0880000000	0.0001000010
0.0881000000	0.0001000010
0.0882000000	0.0001000010
0.0883000000	0.0001000010
0.0884000000	0.0001000010
0.0885000000	0.0001000010
0.0886000000	0.0001000010
0.0887000000	0.0001000010
0.0888000000	0.0001000010
0.0889000000	0.0001000010
0.0890000000	0.0001000010
0.0891000000	0.0001000010
0.0892000000	0.0001000010
0.0893000000	0.0001000010
0.0894000000	0.0001000010
0.0895000000	0.0001000010
0.0896000000	0.0001000010
0.0897000000	0.0001000010
0.0898000000	0.0001000010
0.0899000000	0.0001000010
0.0900000000	0.0001000010
0.0901000000	0.0001000010
0.0902000000	0.0001000010
0.0903000000	0.0001000010
0.0904000000	0.0001000010
0.0905000000	0.0001000010
0.0906000000	0.0001000010
0.0907000000	0.0001000010
0.0908000000	0.0001000010
0.0909000000	0.0001000010
0.0910000000	0.0001000010
0.0911000000	0.0001000010
0.0912000000	0.0001000010
0.0913000000	0.0001000010
0.0914000000	0.0001000010
0.0915000000	0.0001000010
0.0916000000	0.0001000010
0.0917000000	0.0001000010
0.0918000000	0.0001000010
0.0919000000	0.0001000010
0.0920000000	0.0001000010
0.0921000000	0.0001000010
0.0922000000	0.0001000010
0.0923000000	0.0001000010
0.0924000000	0.0001000010
0.0925000000	0.0001000010
0.0926000000	0.0001000010
0.0927000000	0.0001000010
0.0928000000	0.0001000010
0.0929000000	0.0001000010
0.0930000000	0.0001000010
0.0931000000	0.0001000010
0.0932000000	0.0001000010
0.0933000000	0.0001000010
0.0934000000	0.0001000010
0.0935000000	0.0001000010
0.0936000000	0.0001000010
0.0937000000	0.0001000010
0.0938000000	0.0001000010
0.0939000000	0.0001000010
0.0940000000	0.0001000010
0.0941000000	0.0001000010
0.0942000000	0.0001000010
0.0943000000	0.0001000010
0.0944000000	0.0001000010
0.0945000000	0.0001000010
0.0946000000	0.0001000010
0.0947000000	0.0001000010
0.0948000000	0.0001000010
0.0949000000	0.0001000010
0.0950000000	0.0001000010
0.0951000000	0.0001000010
0.0952000000	0.0001000010
0.0953000000	0.0001000010
0.0954000000	0.0001000010
0.0955000000	0.0001000010
0.0956000000	0.0001000010
0.0957000000	0.0001000010
0.0958000000	0.0001000010
0.0959000000	0.0001000010
0.0960000000	0.0001000010
0.0961000000	0.0001000010
0.0962000000	0.0001000010
0.0963000000	0.0001000010
0.0964000000	0.0001000010
0.0965000000	0.0001000010
0.0966000000	0.0001000010
0.0967000000	0.0001000010
0.0968000000	0.0001000010
0.0969000000	0.0001000010
0.0970000000	0.0001000010
0.0971000000	0.0001000010
0.0972000000	0.0001000010
0.0973000000	0.0001000010
0.0974000000	0.0001000010
0.0975000000	0.0001000010
0.0976000000	0.0001000010
0.0977000000	0.0001000010
0.0978000000	0.0001000010
0.0979000000	0.0001000010
0.0980000000	0.0001000010
0.0981000000	0.0001000010
0.0982000000	0.0001000010
0.0983000000	0.0001000010
0.0984000000	0.0001000010
0.0985000000	0.0001000010
0.0986000000	0.0001000010
0.0987000000	0.0001000010
0.0988000000	0.0001000010
0.0989000000	0.0001000010
0.0990000000	0.0001000010
0.0991000000	0.0001000010
0.0992000000	0.0001000010
0.0993000000	0.0001000010
0.0994000000	0.0001000010
0.0995000000	0.0001000010
0.0996000000	0.0001000010
0.0997000000	0.0001000010
